公司,Data Field,2015/12/31,2016/12/30
2890 永豐金,資產總額,"1,587,604,651","1,678,930,351"
2891 中信金,資產總額,"4,596,226,754","4,839,251,254"
2892 第一金,資產總額,"2,500,095,812","2,541,156,335"
2897 王道銀行,資產總額,"485,986,142","496,884,750"
2901 欣欣,資產總額,"1,001,208","984,317"
2903 遠百,資產總額,"106,337,486","106,195,610"
2904 匯僑,資產總額,"1,056,294","1,168,866"
2905 三商,資產總額,"879,078,699","968,788,927"
2906 高林,資產總額,"4,940,320","8,093,377"
2908 特力,資產總額,"25,195,246","24,317,298"
2910 統領,資產總額,"5,549,195","5,619,279"
2911 麗嬰房,資產總額,"7,781,262","7,005,850"
2912 統一超,資產總額,"89,382,712","95,118,517"
2913 農林,資產總額,"25,733,059","24,371,993"
2915 潤泰全,資產總額,"56,584,993","57,147,732"
2923 鼎固-KY,資產總額,"123,548,588","113,770,824"
2929 淘帝-KY,資產總額,"5,588,163","6,163,626"
2936 客思達-KY,資產總額,"5,300,258","4,946,526"
2939 凱羿-KY,資產總額,"879,078","1,569,908"
3002 歐格,資產總額,"1,674,999","1,626,004"
3003 健和興,資產總額,"5,358,796","5,828,151"
3004 豐達科,資產總額,"2,369,676","3,749,429"
3005 神基,資產總額,"23,181,961","25,719,029"
3006 晶豪科,資產總額,"8,659,505","9,206,081"
3008 大立光,資產總額,"83,986,576","97,074,460"
3010 華立,資產總額,"26,731,365","24,918,417"
3011 今皓,資產總額,"2,160,435","1,986,049"
3013 晟銘電,資產總額,"3,443,189","4,169,495"
3014 聯陽,資產總額,"4,615,866","4,708,377"
3015 全漢,資產總額,"14,629,773","14,551,502"
3016 嘉晶,資產總額,"2,093,052","3,492,423"
3017 奇鋐,資產總額,"26,974,870","27,623,043"
3018 同開,資產總額,"1,277,658","1,602,477"
3019 亞光,資產總額,"21,353,997","20,927,030"
3021 鴻名,資產總額,"2,039,789","1,910,743"
3022 威強電,資產總額,"11,983,182","11,693,060"
3023 信邦,資產總額,"11,113,671","11,082,844"
3024 憶聲,資產總額,"5,160,130","4,984,153"
3025 星通,資產總額,"923,574","952,803"
