證券代碼,Data Field,2016/11/30,2016/12/30,2017/1/24,2017/2/24,2017/3/31,2017/4/28,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31
1470 大統新創,月報酬率 %,1.0526,-1.0416,-0.7802,2.1164,0.259,-3.8759,2.1506,-5,2.2769,3.0726,-1.0839,-0.5481
1470 大統新創,現股當沖比重,0,0,0,0,0,0,0,0,0,0,13.54,0
1471 首利,月報酬率 %,-20.0771,7.7296,5.8296,5.5086,13.6545,-12.1909,10.6639,-6.7275,3.3141,0.5662,-4.6904,-3.3464
1471 首利,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
1472 三洋紡,月報酬率 %,0.0001,-7.3929,-8.4035,3.6695,-1.77,23.4234,14.5985,0.3185,-11.1112,20.714,33.136,-0.6685
1472 三洋紡,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
1473 台南,月報酬率 %,4.6233,-2.6185,-1.1764,0.6804,-8.7838,-1.2965,-0.7504,-2.0794,0.1013,0.202,-3.2257,-2.5
1473 台南,現股當沖比重,0,2.56,0,0,0.54,0,0.88,0,0,0,0,0
1474 弘裕,月報酬率 %,-7.265,3.6866,-0.4445,2.2322,-0.0001,-2.62,2.6907,0.8734,3.3956,-0.8813,3.1113,1.2932
1474 弘裕,現股當沖比重,6.15,0.76,0,6.93,2.49,0,5,0,0,1.72,4.16,0.8
1475 本盟,月報酬率 %,-8.3132,2.6667,0.7793,12.1135,24.1379,36.111,4.762,65.9092,38.1603,15.5806,-5.6372,9.4806
1475 本盟,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
1476 儒鴻,月報酬率 %,-8.0781,2.2727,-3.7036,-4.9229,-1.6182,8.717,-7.2618,21.044,-1.6906,6.4747,1.7568,-4.2498
1476 儒鴻,現股當沖比重,19.98,10.19,9.67,7.69,3.68,16.35,10.45,40.12,22.52,10.77,18.07,12.81
1477 聚陽,月報酬率 %,0.8034,-1.1953,-6.4516,7.3279,-0.0002,2.0079,6.2991,8.889,-3.5291,5.5556,-7.3683,5.6816
1477 聚陽,現股當沖比重,13.87,1.99,3.51,15.74,2.24,10.4,4.88,18.42,6.84,5.13,8.85,3.15
