公司,Data Field,2016/6/30,2016/9/30,2016/12/30,2017/3/31,2017/6/30,2017/9/30,2017/12/29,2018/3/31
6464 台數科,M負債比率％,0,0,0,0,0,0,27.48,25.92
6465 威潤,M負債比率％,0,0,0,0,0,0,36.96,36.95
6469 大樹,M負債比率％,0,0,42.46,0,0,0,47.52,45.65
6470 宇智,M負債比率％,0,0,0,0,0,0,0,50.24
6472 保瑞,M負債比率％,41.23,37.86,36.41,35.75,29.43,31.65,30.23,59.21
6477 安集,M負債比率％,0,0,0,0,0,0,0,60.84
6482 弘煜科,M負債比率％,0,0,0,0,0,0,20.04,18.74
6485 點序,M負債比率％,0,0,0,0,0,0,22.08,37.79
6486 互動,M負債比率％,0,0,0,0,0,0,44.46,45.15
6488 環球晶,M負債比率％,0,0,0,0,0,0,51.51,53.05
6491 晶碩,M負債比率％,35.68,0,36.42,0,40.56,0,49.56,0
6492 生華科,M負債比率％,0,0,0,0,0,0,3.56,0.54
6494 九齊,M負債比率％,0,0,0,0,0,0,0,24.95
6496 科懋,M負債比率％,0,0,0,0,0,0,20.21,19.23
6497 亞獅康-KY　,M負債比率％,18.55,17.17,22.6,27.77,18.15,18.91,30.82,48.47
6499 益安,M負債比率％,0,0,0,0,0,0,6.43,9.49
6504 南六,M負債比率％,0,0,0,0,0,0,57.46,55.74
6505 台塑化,M負債比率％,0,0,0,0,0,0,0,19.72
6506 雙邦,M負債比率％,0,0,0,0,0,0,42.12,45.12
6508 惠光,M負債比率％,0,0,0,0,0,0,30.13,28.67
6509 聚和,M負債比率％,0,0,0,0,0,0,46.58,46.08
6510 精測,M負債比率％,0,0,0,0,0,0,0,12.45
6512 啟發電,M負債比率％,0,0,0,0,0,0,0,20.85
6514 芮特-KY,M負債比率％,0,0,0,0,0,0,21.78,22.41
6516 勤崴國際,M負債比率％,12.6,0,19.54,0,12.7,12.86,15.16,14.25
6523 達爾膚,M負債比率％,0,0,0,0,0,0,0,6.86
6525 捷敏-KY,M負債比率％,0,0,0,0,0,0,23.73,23.11
6530 創威,M負債比率％,0,0,0,0,0,0,15.33,11.43
6531 愛普,M負債比率％,0,0,0,0,0,0,19.93,20.25
6532 瑞耘,M負債比率％,0,0,0,0,0,0,20.6,18.34
6533 晶心科,M負債比率％,0,0,0,0,0,0,2.54,2.66
6535 順藥,M負債比率％,0,0,0,0,0,0,14.48,9.11
6538 倉和,M負債比率％,0,0,0,0,0,0,27.11,23.71
6541 泰福-KY,M負債比率％,0,0,0,0,0,0,5.63,5.02
6542 隆中,M負債比率％,0,0,0,0,0,0,34.21,30.31
6547 高端疫苗,M負債比率％,0,0,0,0,0,0,28.8,29.01
6548 長科*,M負債比率％,0,0,0,0,0,0,43.62,37.46
6552 易華電,M負債比率％,0,0,0,0,0,0,0,16.44
6556 勝品,M負債比率％,0,0,0,0,0,0,54.25,57.37
6558 興能高,M負債比率％,0,0,0,0,0,0,27.42,24.77
6560 欣普羅,M負債比率％,0,0,0,0,0,0,21.57,35.17
6561 是方,M負債比率％,0,0,0,0,0,0,0,22.25
6568 宏觀,M負債比率％,0,0,0,0,0,0,17.61,13.59
6569 醫揚,M負債比率％,0,0,0,0,0,0,0,22.76
6570 維田,M負債比率％,0,0,0,0,0,0,34.03,33.98
6573 虹揚-KY,M負債比率％,0,0,0,0,0,0,50.53,55.48
6574 霈方,M負債比率％,0,0,0,0,0,0,22,17.66
6576 逸達,M負債比率％,0,0,0,0,0,0,14.14,19.12
6577 勁豐,M負債比率％,0,0,35.77,23.75,36.23,33.33,31.85,30.47
6578 達邦蛋白,M負債比率％,0,0,0,0,0,0,26.82,33.25
6579 研揚,M負債比率％,0,0,0,0,0,0,0,17.65
6581 鋼聯,M負債比率％,0,0,0,0,0,0,0,20.52
6582 申豐,M負債比率％,0,0,0,0,0,0,0,11.83
6589 台康生技,M負債比率％,6.91,0,11.28,0,14.4,25.45,32.47,29.44
6590 普鴻,M負債比率％,0,0,29.77,29.11,40.24,42.17,40.43,38.53
6591 動力-KY,M負債比率％,0,0,0,0,0,0,38.94,38.14
6593 台灣銘板,M負債比率％,0,0,0,0,0,0,43.33,40.2
6594 展匯科,M負債比率％,0,0,0,0,0,0,20.74,18.97
6596 寬宏藝術,M負債比率％,0,0,0,0,0,0,37.01,46.58
6603 富強鑫,M負債比率％,0,0,0,0,0,0,54.15,53.95
6605 帝寶,M負債比率％,0,0,0,0,0,0,58.09,58.44
6609 瀧澤科,M負債比率％,0,0,0,0,0,0,48.83,48.17
6612 奈米醫材,M負債比率％,0,0,0,0,0,0,16.17,14.95
6613 朋億,M負債比率％,0,0,0,0,0,0,0,55.79
6615 慧智,M負債比率％,0,0,0,0,0,0,23.37,13.94
6616 特昇-KY,M負債比率％,0,0,0,0,0,0,38.17,36.84
6624 萬年清,M負債比率％,29.82,0,36.96,0,58.31,52.91,56.45,58.13
6625 必應,M負債比率％,0,0,0,0,0,0,43.08,27.67
6629 泰金-KY,M負債比率％,0,0,56.1,52.39,51.31,49.65,51.44,48.54
6640 均華,M負債比率％,0,0,0,0,0,0,45.99,48.04
6641 基士德-KY,M負債比率％,0,0,40,0,0,0,45.49,35.94
6642 富致,M負債比率％,28.72,0,21.33,0,21.41,0,22.49,22.94
6643 M31,M負債比率％,0,0,0,0,0,0,26.63,29.98
6649 台生材,M負債比率％,3.91,0,3.37,0,1.22,1.42,2.16,1.2
6654 天正國際,M負債比率％,0,0,0,0,0,0,61.39,59.03
6655 科定,M負債比率％,0,0,0,0,0,0,63.94,65.84
6662 樂斯科,M負債比率％,28.28,0,19.61,0,30.48,26.16,16.31,13.99
