證券代碼,Data Field,2016/4/29,2016/5/31,2016/6/30,2016/7/29,2016/8/31,2016/9/30,2016/10/31,2016/11/30,2016/12/30,2017/1/24,2017/2/24,2017/3/31,2017/4/28,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31,2017/11/30,2017/12/29,2018/1/31,2018/2/27,2018/3/31,2018/4/30
1213 大飲,月報酬率 %,-5.1769,21.8391,-10.1415,-0.9712,-6.7055,-6.2501,5.9998,5.0315,0.5987,1.488,4.6921,0.2801,-3.3518,-0.0002,-2.0231,-7.9647,-0.6409,-1.9357,0.3286,5.2457,-2.8037,2.564,-2.1876,-3.5146,-2.6491
1213 大飲,現股當沖比重,0,16.09,0,1.56,0,3.26,1.23,0,0,0,0,0,0,2.35,0,27.78,2.78,0,0,8.42,0,11.76,0,0,0
1215 卜蜂,月報酬率 %,12.7018,14.4903,16.0935,4.7972,5.1351,-2.9563,19.0729,2.1133,-2.2876,3.6791,3.8711,12.2155,4.9815,18.2779,10.8472,-3.8346,-4.7895,-1.9816,-0.9332,-6.1225,7.3576,2.9596,1.6641,-2.6785,-2.1407
1215 卜蜂,現股當沖比重,0.85,10.22,2.97,13.3,14.7,2.73,14.48,7.27,3.56,5.58,9.15,8.58,9.66,11.33,7.41,12.26,12.37,32.56,12.12,6.01,11.74,6.93,14.24,3.42,3.04
1216 統一,月報酬率 %,3.009,6.7011,2.2541,2.6772,-5.0769,-1.9998,3.9115,-10.8022,-2.0182,0.187,2.0562,4.2124,-2.109,7.8993,1.4976,-5.2458,15.1291,-2.0249,0.1589,1.1111,3.6107,6.0609,-1.4284,0.0001,3.7682
1216 統一,現股當沖比重,2.87,0.79,1.99,5.82,3.76,0.69,1.24,0.67,0.62,0.59,0.35,1.6,2.06,6.97,4.51,4.96,11.52,8.87,8.51,16.59,11.88,4.88,13.82,3.09,7.64
1217 愛之味,月報酬率 %,-0.6189,2.2417,-0.6091,0.0001,-1.7159,-0.5249,-4.1984,-3.0542,1.6438,-0.8086,4.0761,-1.5666,-0.1327,1.5935,-1.0457,2.6421,1.9304,-3.1566,-1.8252,0.7966,-1.3173,0.8009,-3.3113,1.7809,1.0767
1217 愛之味,現股當沖比重,9.92,20.28,0,0.79,0.61,2.55,0.73,7.42,0,0,3.96,4.78,0.46,3.39,1.1,3.15,1.97,2.36,1.11,1.6,26.75,6.37,1.19,0,3.14
1218 泰山,月報酬率 %,-2.8113,9.9175,-0.7518,2.2728,11.852,6.2914,4.9843,-5.9348,-5.9938,0.6711,3.3333,-3.8712,-0.0001,5.7047,6.0317,25.4491,-15.2743,3.0984,1.3664,-1.3874,-5.322,-3.8461,4,0.8877,0.2933
1218 泰山,現股當沖比重,0.71,1.97,1.69,0,2.24,5.32,5.51,1.65,5.47,2.15,0,0,4.83,15.7,7.08,24.65,5.62,11.22,3.9,48.98,0.32,10.9,9.89,0.9,2.02
1219 福壽,月報酬率 %,-1.3072,0.331,0.3301,2.3026,-0.0001,0.3268,0.6514,0.6472,2.2509,-0.3144,4.1011,0.6056,-1.5061,1.2233,3.0211,7.8044,0.0002,0.0001,-1.9555,1.9943,-0.2793,-0.8403,2.8248,1.3735,0.8129
1219 福壽,現股當沖比重,0,0,0,4.41,0,0,1.28,0,0,0,7.76,5.84,0,0,0,20.35,0,17.96,1.32,0,0,29.28,0,0,0
1220 台榮,月報酬率 %,-0.4738,3.3334,8.7557,-7.0267,5.238,-1.8098,-3.6867,4.3063,0,-1.8347,3.7385,0.4504,-1.3455,-0.9091,0.9175,-1.4495,-0.4902,1.4779,-0.0001,0.4853,0.4831,1.9231,0.9435,3.2709,6.3349
1220 台榮,現股當沖比重,0,0,4.56,4.65,4.3,4.14,4.72,1.36,0,11.22,0,4.07,0,0,0,1.15,8.32,0,0,1.19,5.75,1.31,0.81,0,0
1225 福懋油,月報酬率 %,-4.3479,25.7577,7.0952,28.0001,-1.2715,5.1464,-0.192,-14.2307,7.6235,-0.0001,3.9584,0.2004,0.0001,0.4002,7.3705,8.1632,11.6012,0.4709,0.9376,2.6316,0.3017,3.0075,4.9635,1.53,0.5478
1225 福懋油,現股當沖比重,0.33,1,0.66,2.39,12.64,0,0,0,12.01,0,0,0,0,0,0,20.41,2.63,0,0,0.78,0,0,0,0,0
1227 佳格,月報酬率 %,-1.8797,-0.7662,1.5444,0.5069,11.6762,2.5543,-2.7396,-3.201,1.3228,0.2609,0.2603,-2.0778,-1.1934,8.5905,0.9888,-1.5912,1.7689,-4.0208,0.9461,0.5355,-1.4647,1.0811,-8.2886,-1.1659,-1.7699
1227 佳格,現股當沖比重,2.54,0.79,1.97,0.87,1.53,2.77,0.62,3.54,0.51,1.77,0,0,2.86,5.91,5.94,6.12,6.01,1.75,7.73,3.35,10.29,4.5,1.18,0.59,5.14
