公司,Data Field,2013/12/31
3362 先進光,負債比率,49.84
3363 上詮,負債比率,33.53
3372 典範,負債比率,16.53
3373 熱映,負債比率,20.67
3374 精材,負債比率,50.79
3376 新日興,負債比率,25.87
3379 彬台,負債比率,55.34
3380 明泰,負債比率,45.78
3383 新世紀,負債比率,53.48
3388 崇越電,負債比率,27.94
3390 旭軟,負債比率,16.71
3402 漢科,負債比率,39.43
3406 玉晶光,負債比率,39.74
3413 京鼎,負債比率,65.03
3416 融程電,負債比率,16.39
3419 譁裕,負債比率,45.82
3426 台興,負債比率,28.9
3432 台端,負債比率,27.97
3434 哲固,負債比率,55.92
3437 榮創,負債比率,50.53
3438 類比科,負債比率,34.28
3441 聯一光,負債比率,12.67
3443 創意,負債比率,25.27
3444 利機,負債比率,28.34
3450 聯鈞,負債比率,49.44
3452 益通,負債比率,13.79
3454 晶睿,負債比率,28.5
3455 由田,負債比率,35.41
3465 進泰電子,負債比率,69.92
3466 致振,負債比率,34.56
3479 安勤,負債比率,25.78
3481 群創,負債比率,61.71
3483 力致,負債比率,42.72
3484 崧騰,負債比率,47.31
3489 森寶,負債比率,35.89
3490 單井,負債比率,39.1
3491 昇達科,負債比率,17.69
3492 長盛,負債比率,54.35
3494 誠研,負債比率,34.34
3498 陽程,負債比率,38.8
3499 環天科,負債比率,33.67
3501 維熹,負債比率,19.46
3504 揚明光,負債比率,32.85
3508 位速,負債比率,26.64
3511 矽瑪,負債比率,29.88
3512 皇龍,負債比率,50.83
3515 華擎,負債比率,29.5
3516 亞帝歐,負債比率,23.94
3518 柏騰,負債比率,21.71
3520 振維,負債比率,58.76
3521 鴻翊,負債比率,36.21
3522 御頂,負債比率,53.56
3523 迎輝,負債比率,53.63
3526 凡甲,負債比率,40.05
3527 聚積,負債比率,27.09
3528 安馳,負債比率,37.67
3529 力旺,負債比率,9.05
3530 晶相光,負債比率,4.59
3531 先益,負債比率,26.21
3532 台勝科,負債比率,14.26
3533 嘉澤,負債比率,32.61
3535 晶彩科,負債比率,39.31
3536 誠創,負債比率,43.15
3537 堡達,負債比率,36.1
3540 曜越,負債比率,37.52
3541 西柏,負債比率,40.85
3545 敦泰,負債比率,53.72
3546 宇峻,負債比率,13.09
3548 兆利,負債比率,38.22
3550 聯穎,負債比率,41.63
3551 世禾,負債比率,20.17
3552 同致,負債比率,49.47
3555 重鵬,負債比率,35.4
3556 禾瑞亞,負債比率,24.65
3557 嘉威,負債比率,33.28
3558 神準,負債比率,49.18
3562 頂晶科,負債比率,93.62
3563 牧德,負債比率,18.34
3564 其陽,負債比率,29.07
3567 逸昌,負債比率,18.51
3570 大塚,負債比率,22.55
3576 聯合再生,負債比率,44.01
3577 泓格,負債比率,18.53
3580 友威科,負債比率,59.02
3581 博磊,負債比率,30.18
3583 辛耘,負債比率,40.3
3587 閎康,負債比率,18.77
3588 通嘉,負債比率,15.61
3591 艾笛森,負債比率,37.19
3593 力銘,負債比率,10.28
3594 磐儀,負債比率,41.71
3596 智易,負債比率,40.37
3605 宏致,負債比率,40.84
3607 谷崧,負債比率,38.84
3609 東林,負債比率,38.79
3611 鼎翰,負債比率,34.56
3615 安可,負債比率,10.63
3617 碩天,負債比率,35.09
3622 洋華,負債比率,17.39
3623 富晶通,負債比率,26.32
3624 光頡,負債比率,25.71
3625 西勝,負債比率,30.87
3628 盈正,負債比率,36.26
3629 地心引力,負債比率,59.14
3630 新鉅科,負債比率,48.39
3631 晟楠,負債比率,48.62
3632 研勤,負債比率,50.86
3642 駿熠電,負債比率,26.75
3645 達邁,負債比率,30.78
3646 艾恩特,負債比率,34.37
3652 精聯,負債比率,35.27
3653 健策,負債比率,15.33
3661 世芯-KY,負債比率,13.06
3663 鑫科,負債比率,37
3664 安瑞-KY,負債比率,29.56
3665 貿聯-KY,負債比率,32.94
3666 光耀,負債比率,31.58
3669 圓展,負債比率,13.58
3672 康聯訊,負債比率,36.38
3673 TPK-KY,負債比率,70.32
3675 德微,負債比率,33.05
3679 新至陞,負債比率,34.84
3680 家登,負債比率,56.78
3682 亞太電,負債比率,11.08
3684 榮昌,負債比率,30.78
